word	nodeType	unit
clean	ADJ	ATE13
good	ADJ	ATE13
virgin	ADJ	ATE13
second	ADJ	ATE13
pure	ADJ	ATE13
naked	ADJ	ATE13
glazed	ADJ	ATE17
open	ADJ	ATE17
okay	ADJ	ATE17
bored	ADJ	ATE17
good	ADJ	ATE17
about	ADJ	ATE17
same	ADJ	ATE17
right	ADJ	ATE17
sweet	ADJ	ATE17
last	ADJ	ATE17
threatening	ADJ	ATE17
stupid	ADJ	ATE17
good	ADJ	ATE17
good	ADJ	ATE17
right	ADJ	ATE17
cool	ADJ	ATE17
lucky	ADJ	ATE17
weird	ADJ	ATE17
pretty	ADJ	ATE17
good	ADJ	ATE17
creepy	ADJ	ATE17
happy	ADJ	ATE17
last	ADJ	ATE17
hot	ADJ	ATE17
good	ADJ	ATE17
right	ADJ	ATE17
angry	ADJ	ATE17
giant	ADJ	ATE17
different	ADJ	ATE17
good	ADJ	ATE17
good	ADJ	ATE17
more	ADJ	ATE17
fine	ADJ	ATE17
serious	ADJ	ATE17
sure	ADJ	ATE17
well	ADJ	ATE17
comfortable	ADJ	ATE17
y'know	ADJ	ATE17
free	ADJ	ATE17
double	ADJ	ATE17
big	ADJ	ATE17
nervous	ADJ	ATE17
beautiful	ADJ	ATE17
good	ADJ	ATE17
up—80	ADJ	ATE17
sure	ADJ	ATE17
old	ADJ	ATE17
old	ADJ	ATE17
old	ADJ	ATE17
nearby	ADJ	ATE17
stinky	ADJ	ATE17
old	ADJ	ATE17
male	ADJ	ATE17
female	ADJ	ATE17
other	ADJ	ATE17
beautiful	ADJ	ATE17
bad	ADJ	ATE17
happy	ADJ	ATE17
lousy	ADJ	ATE17
black	ADJ	ATE17
happy	ADJ	ATE17
lame	ADJ	ATE17
prepared	ADJ	ATE17
bored	ADJ	ATE17
weird	ADJ	ATE17
traditional	ADJ	ATE17
good	ADJ	ATE17
cool	ADJ	ATE17
glad	ADJ	ATE17
happy	ADJ	ATE17
crazy	ADJ	ATE17
huge	ADJ	ATE17
gross	ADJ	ATE17
large	ADJ	ATE17
allergic	ADJ	ATE17
old	ADJ	ATE17
free	ADJ	ATE17
happy	ADJ	ATE17
spiky	ADJ	ATE17
ready	ADJ	ATE17
total	ADJ	ATE17
right	ADJ	ATE17
worth	ADJ	ATE17
spontaneous	ADJ	ATE17
wrong	ADJ	ATE17
wrong	ADJ	ATE17
wrong	ADJ	ATE17
normal	ADJ	ATE17
sized	ADJ	ATE17
good	ADJ	ATE17
lousy	ADJ	ATE17
right	ADJ	ATE17
married	ADJ	ATE17
official	ADJ	ATE17
normal	ADJ	ATE17
dark	ADJ	ATE16
gross	ADJ	ATE16
red	ADJ	ATE16
ominous	ADJ	ATE16
slow	ADJ	ATE16
barefoot	ADJ	ATE16
red	ADJ	ATE16
ominous	ADJ	ATE16
black	ADJ	ATE16
afraid	ADJ	ATE16
deep	ADJ	ATE16
afraid	ADJ	ATE16
wuss	ADJ	ATE16
scared	ADJ	ATE16
true	ADJ	ATE16
true	ADJ	ATE16
scared	ADJ	ATE16
deep	ADJ	ATE16
right	ADJ	ATE16
panting	ADJ	ATE16
normal	ADJ	ATE16
wrong	ADJ	ATE16
afraid	ADJ	ATE16
few	ADJ	ATE16
scared	ADJ	ATE16
ok	ADJ	ATE16
scared	ADJ	ATE16
scared	ADJ	ATE16
afraid	ADJ	ATE16
hot	ADJ	ATE16
scared	ADJ	ATE16
scared	ADJ	ATE16
afraid	ADJ	ATE16
multiple	ADJ	ATE16
rapid	ADJ	ATE16
single	ADJ	ATE16
slow	ADJ	ATE16
afraid	ADJ	ATE16
afraid	ADJ	ATE16
ready	ADJ	ATE16
ready	ADJ	ATE16
entire	ADJ	ATE16
crazy	ADJ	ATE16
ok	ADJ	ATE16
nuts	ADJ	ATE16
great	ADJ	ATE16
great	ADJ	ATE16
ready	ADJ	ATE16
underwater	ADJ	ATE16
pre	ADJ	ATE16
-	ADJ	ATE16
war	ADJ	ATE16
safe	ADJ	ATE16
safe	ADJ	ATE16
perfect	ADJ	ATE16
more	ADJ	ATE16
good	ADJ	ATE16
small	ADJ	ATE16
rusty	ADJ	ATE16
awesome	ADJ	ATE16
pretty	ADJ	ATE16
more	ADJ	ATE16
beautiful	ADJ	ATE16
afraid	ADJ	ATE16
beautiful	ADJ	ATE16
bad	ADJ	ATE16
glad	ADJ	ATE16
black	ADJ	ATE16
cool	ADJ	ATE16
perfect	ADJ	ATE16
sure	ADJ	ATE16
pathetic	ADJ	ATE16
about	ADJ	ATE16
un	ADJ	ATE16
-	ADJ	ATE16
heroic	ADJ	ATE16
right	ADJ	ATE16
right	ADJ	ATE16
great	ADJ	ATE16
good	ADJ	ATE16
own	ADJ	ATE16
proud	ADJ	ATE16
proud	ADJ	ATE16
great	ADJ	ATE16
right	ADJ	ATE16
black	ADJ	ATE16
wrong	ADJ	ATE16
great	ADJ	ATE16
late	ADJ	ATE16
great	ADJ	ATE16
nasty	ADJ	ATE16
wonderful	ADJ	ATE16
least	ADJ	ATE16
maniacal	ADJ	ATE16
locked	ADJ	ATE14
cool	ADJ	ATE14
bad	ADJ	ATE14
poisonous	ADJ	ATE14
magic	ADJ	ATE14
full	ADJ	ATE14
weird	ADJ	ATE14
hungry	ADJ	ATE14
magic	ADJ	ATE14
okay	ADJ	ATE14
little	ADJ	ATE14
chilly	ADJ	ATE14
magical	ADJ	ATE14
more	ADJ	ATE14
only	ADJ	ATE14
sorry	ADJ	ATE14
wrong	ADJ	ATE14
total	ADJ	ATE14
alright	ADJ	ATE14
industrial	ADJ	ATE14
deep	ADJ	ATE14
hard	ADJ	ATE14
magic	ADJ	ATE14
clear	ADJ	ATE14
many	ADJ	ATE14
lucky	ADJ	ATE14
first	ADJ	ATE14
right	ADJ	ATE14
magic	ADJ	ATE14
energetic	ADJ	ATE14
little	ADJ	ATE14
whole	ADJ	ATE14
tired	ADJ	ATE14
evil	ADJ	ATE14
lazy	ADJ	ATE14
hard	ADJ	ATE14
good	ADJ	ATE14
little	ADJ	ATE14
ideal	ADJ	ATE14
old	ADJ	ATE14
exhausting	ADJ	ATE14
right	ADJ	ATE14
exhausting	ADJ	ATE14
subconscious	ADJ	ATE14
true	ADJ	ATE14
hard	ADJ	ATE14
easy	ADJ	ATE14
subconscious	ADJ	ATE14
glad	ADJ	ATE14
hard	ADJ	ATE14
wrong	ADJ	ATE14
various	ADJ	ATE14
large	ADJ	ATE14
annoyed	ADJ	ATE14
ergh	ADJ	ATE14
stupid	ADJ	ATE14
other	ADJ	ATE14
magic	ADJ	ATE14
right	ADJ	ATE14
chubby	ADJ	ATE14
tired	ADJ	ATE14
stupid	ADJ	ATE14
powerless	ADJ	ATE14
lazy	ADJ	ATE14
prideful	ADJ	ATE14
much	ADJ	ATE14
hard	ADJ	ATE14
regular	ADJ	ATE14
old	ADJ	ATE14
ironic	ADJ	ATE14
current	ADJ	ATE14
big	ADJ	ATE14
giant	ADJ	ATE14
giant	ADJ	ATE14
beautiful	ADJ	ATE14
gross	ADJ	ATE14
kinda	ADJ	ATE14
black	ADJ	ATE14
giant	ADJ	ATE14
hungry	ADJ	ATE14
desperate	ADJ	ATE14
only	ADJ	ATE14
fat	ADJ	ATE14
sorry	ADJ	ATE14
sorry	ADJ	ATE14
humiliating	ADJ	ATE14
only	ADJ	ATE14
subconscious	ADJ	ATE14
cool	ADJ	ATE14
subconscious	ADJ	ATE14
dyin	ADJ	ATE14
